,emotion_label,emotion_text
6446,shame,It was the metre when everybody mouth about and discussed Hainburg . I was also asked for my view . I was ashamed because I had no firm view of the whole thing and therefor make up non able bodied to join the conversation .
6447,shame,It was the time when spoke everybody about and discussed Hainburg . I was for asked also my opinion . I was ashamed because I had no firm the view of whole thing therefor and was able not to join the conversation .
6448,guilt,"I was on a concert-tour and therefor seperated from my  boy-friend. But I needed warmth which was given by a male member  of the orchestra. My feelings towards him were not very deep, but  his feelings were. I felt guilty when he said ""I am not a  radiator""."
6449,guilt,"Atomic number 53 be on a concert - tour and therefor seperated from my boy - friend . But I needed warmth which exist given by a male member of the orchestra . My feelings towards him were not very thick , but his feelings were . Atomic number 53 felt shamefaced when he articulate "" I cost not a radiator "" ."
6450,guilt,"I was on a concert - tour and therefor seperated from my boy - friend . But I require warmth which was given by a male member of the orchestra . My feelings towards him were non very deep , but his feelings were . One felt guilty when he said "" 1 am not a radiator "" ."
6451,guilt,"I on was a concert - and tour therefor seperated from boy my - friend . But I needed warmth which was given by male a member of the orchestra . My feelings him towards were not deep very , his but feelings were . I felt guilty when he said "" I am a not radiator "" ."
6452,joy,"On my 18th birthday I passed the driving-test. I was glad because  I had had to study very much, because I had been lucky and  because - as a proof that it was really difficult - not everybody  had passed the test."
6453,joy,"On my 18th natal day I passed the driving - test . I was glad because I had had to study rattling a lot , because I had been lucky and because - as a proof that it be really unmanageable - non everybody accept passed the test ."
6454,joy,"On my eighteenth birthday I passed the driving - test . I was happy because I had had to study real much , because I had equal lucky and because - as a proof that it embody genuinely difficult - not everybody had transcend the trial ."
6455,joy,"My on 18th birthday I passed driving the test - . I was glad I because had had to study much very , because I had been lucky and because - as a proof that it was really difficult - not had everybody passed the . test"
6456,fear,At about midnight I had to go by bike through Graz alone. On the  whole it was a distance of several kilometers. A car followed me  through the streets. Only when I went into a one-way street the  car disappeared. The rest of my way home I was very afraid.
6457,fear,At about midnight I had to live on by bike through Graz unaccompanied . On the whole information technology was a distance of various kilometers . A car followed me through the streets . Only when One go into a one - way street the car disappeared . The rest of my agency home I was very afraid .
6458,fear,At about midnight I had to kick the bucket by bike through Graz alone . On the whole information technology was a distance of several kilometers . A car followed pine tree state through the streets . Only if when I went into a one - way street the car disappear . The rest of my way home I was very afraid .
6459,fear,At about midnight I had to go by bike through alone Graz . On whole the it was a distance of several A kilometers . car me followed through the streets Only . I when went into a one - way street the car . disappeared The rest of way my home was I very afraid .
6460,anger,I had studied for almost one week for my physics-examination.  With difficulty I passed the examn. I was angry about the teacher  and also about myself because I had not remembered enough during  the examn and because the time that I spent studying was wasted.
6461,anger,I take studied for almost one week for my physics - examination . With difficulty Ace slip away the examn . I was raging about the teacher and also about myself because I had non remembered plenty during the examn and because the time that I spent studying was wasted .
6462,anger,I had studied for almost one week for my physics - examen . With difficulty I glide by the examn . 1 embody angry astir the teacher and also about myself because I receive not remembered enough during the examn and because the time that I spent studying was wasted .
6463,anger,I had studied for almost week one for physics my - examination . With difficulty passed I the . examn I angry was about the teacher also and about because myself had I enough not remembered during the examn and because the time that I spent studying was wasted .
6464,sadness,I had cared for a horse for 2 years. One day it was sold and I  cried for several days because I was so sad.
6465,sadness,I had cared for a knight for 2 years . I 24 hour interval it be sold and One scream for several days because I equal so sad .
6466,sadness,I had care for a horse for 2 age . One day information technology was sold and I cried for various days because I constitute so distressing .
6467,sadness,I cared had for a horse for 2 years . day it One sold I was and cried for days several because I was so . sad
6468,disgust,"A friend of mine was telling jokes which I felt to be very  disgusting, especially because I was eating."
6469,disgust,"A friend of mine live telling jokes which I felt to constitute very disgusting , especially because I was run through ."
6470,disgust,"A friend of mine be distinguish jokes which I feel to be rattling repellent , especially because I was eating ."
6471,disgust,"A mine of friend was telling jokes which felt to I be very disgusting , especially because was I eating ."
6472,shame,At a carneval-party I smooched with a man - some days later I was  rather ashamed for that.
6473,shame,At a carneval - party 1 smooched with a piece - some twenty four hours after Iodin represent rather ashamed for that .
6474,shame,At a carneval - party I spoon with a serviceman - some twenty four hours later I was sort of ashamed for that .
6475,shame,At a - carneval party smooched I with a man - some later days was I rather ashamed for that .
6476,guilt,"By fun I had a tussle with my sister. Suddenly I obviously hurt  her unintentionally - and she ran out of the room, crying."
6477,guilt,"By fun I had a dogfight with my sister . Suddenly I obviously hurt her unintentionally - and she ran out of the way , weep ."
6478,guilt,"By fun I suffer a hassle with my sister . Suddenly Unity obviously hurt her accidentally - and she ran out of the room , crying ."
6479,guilt,"By fun a I had tussle with my sister . Suddenly I hurt obviously her and unintentionally - ran she out of room the , . crying"
6480,joy,"During my first week in Graz I met a girl who I had got to know  in the train from Amsterdam to Graz. Although I had considered  her very sympathetic, we had seperated without changing our  adresses."
6481,joy,"During my first week in Graz I encounter a girl who I had get to know in the train from Dutch capital to Graz . Although Ane had considered her very sympathetic , we had seperated without changing our adresses ."
6482,joy,"During my maiden week in Graz I met a girl world health organization I had got to know in the caravan from Amsterdam to Graz . Although Single had considered her very good hearted , we had seperated without changing our adresses ."
6483,joy,"My during first week Graz in I met a girl who I got had to know in train the from Amsterdam to . Graz I Although had considered her sympathetic very , seperated we had without our changing adresses ."
6484,fear,"Many years ago I saw the film ""Psycho"" by Hitchcock for the first  time. When I saw the film I was alone and afterwards I hardly  dared to go to bed and hardly was able to sleep."
6485,fear,"Many old age agone I saw the motion picture "" Psycho "" by Hitchcock for the first meter . When Ane saw the film I was alone and afterwards I barely dared to go to bed and scarce was able to sleep ."
6486,fear,"Many year ago One saw the picture show "" Psychotic person "" by Hitchcock for the beginning fourth dimension . When 1 saw the film I was alone and afterwards I hardly dared to go to bed and hardly was able to sleep ."
6487,fear,"Many years ago I saw film the "" Psycho "" by Hitchcock for first the time . saw When I the film I was alone and afterwards I hardly dared to go bed and to hardly able was sleep to ."
6488,anger,"I had got a bad cold. My father said I must be crazy to go by  motorbike at those temperatures. When I answered him that I did  not care about a cold, he said that if I did not care for  anything I could leave him (it was for the second time he said  something like that)."
6489,anger,"I had got a bad low temperature . My father say I must be crazy to go by motorbike at those temperatures . When I answered him that I did not care astir a cold , he pronounce that if I do not care for anything I could leave him ( it was for the second time he say something like that ) ."
6490,anger,"I had got a bad cold . My sire said I must be crazy to go by motorbike at those temperature . When I answered him that I did not handle about a cold , helium said that if I did not care for anything I could leave him ( it live for the second metre he tell something similar that ) ."
6491,anger,"I had got a cold bad . My father said I must crazy be go to motorbike by at those temperatures . When I answered him that I did care not about a cold , that he said if I did not care for I anything could him leave ( it was for the second time he said like something that ) ."
6492,sadness,"I was at home alone when I realized that a young roe approached  our house. I hid because I did not want to frighten it. It  limped. Some time later, when I thought that it had already run  away, I saw it lying on our terrace. I came nearer and saw that  it was terribly wounded. I informed the ranger who said that the  roe must have been attacked by dogs. He had to shoot it."
6493,sadness,"I was at home alone when I realized that a young roe approached our house . One hid because I did not want to frighten it . It limped . Some time later , when I thought that it had already run away , I project it lying on our terrace . Single came nearer and saw that it was awfully wounded . Iodine inform the ranger who say that the roe must have been attacked by dog iron . He had to inject it ."
6494,sadness,"I was at home alone when I realized that a young roe approached our business firm . Unity hid because I did not want to frighten it . It limped . Some time later , when I consider that it had already run away , I saw it lying on our terrace . Unity come nearer and saw that it was terribly wounded . I informed the ranger world health organization said that the roe must have been assault by dogs . He give birth to shoot it ."
6495,sadness,"I was home at when alone I that realized a young roe approached our house . I hid because I did not to want frighten it . It limped . Some time later , when I thought that it had already run away , I saw it lying on our . terrace I came nearer and saw that was it terribly wounded . I informed the ranger said that who the roe must have been attacked by dogs . He had to shoot it ."
6496,disgust,Several years ago I stayed with friends in the mountains for one  week. We lived in a hut and had to cook for ourselves. One day my  friend did not succeed in preparing spaghetti. That dinner was  terrible - nevertheless we all ate rather much and had an  improper and unsavoury conversation.
6497,disgust,Several years ago I stayed with friends in the mountains for unmatchable workweek . We lived in a hut and had to cook for ourselves . One day my friend did not bring home the bacon in preparing spaghetti . That dinner was terrible - nevertheless we all ate quite much and cause an improper and unsavoury conversation .
6498,disgust,Respective years ago I stayed with friends in the mountains for one week . We lived in a hut and had to cook for ourselves . One mean solar day my friend did not succeed in preparing spaghetti . That dinner be terrible - nevertheless we all ate rather much and have an improper and unsavoury conversation .
6499,disgust,Several years I ago with stayed friends the in mountains for one week . We lived in hut and a had to cook for ourselves . One my day friend not did succeed in preparing spaghetti . That was dinner terrible - nevertheless we all ate much rather and had an improper and conversation unsavoury .
6500,shame,My mother and my grandmother were talking about one of my  grandmother's friends whom I hardly know. I gave some deprecatory  comments on him whereupon my grandmother told me that the man had  died recently.
6501,shame,My mother and my grandmother equal talking about 1 of my grandmother ' s booster whom 1 scarcely know . I gave some deprecatory comments on him whereupon my grandmother told me that the human had died recently .
6502,shame,My female parent and my grandmother were talking astir one of my grandmother ' s friends whom I scarce know . I gave some deprecatory comment on him whereupon my grandmother evidence maine that the man had died late .
6503,shame,My mother and my were grandmother talking about one of my grandmother ' s friends whom hardly I know . I gave deprecatory some on him comments whereupon grandmother my told me the that man had died . recently
6504,guilt,"When I still went to primary-school, I went on a ski-trip with my  family. After skiing we went to a restaurant for lunch. Suddenly  my father said that he had forgotten something in the car. He  gave me the key and asked me to go and get it. I had difficulties  with the key which was already bent. I asked my mother to help  me. When she tried to turn the key it broke. We had no second  key. My mother was blamed for all that and I did not say a word."
6505,guilt,"When I still went to elementary - school , Ane give way on a ski - trip with my kinsperson . After skiing we went to a restaurant for lunch . Suddenly my father said that he had forgotten something in the car . He gave me the francis scott key and asked me to go and get it . I had difficulties with the key which was already crumpled . I asked my female parent to help me . When she prove to turn the key it broke . We had no second key . My mother was blamed for all that and I did not say a word ."
6506,guilt,"When I still went to primary - school , I went on a ski - trip with my family . After skiing we went to a restaurant for lunch . Suddenly my father said that he get forgotten something in the car . He gave me the key and asked me to go and get information technology . I had difficulties with the key which was already bent . I asked my mother to help maine . When she tried to turn the key it bust . We had no second key . My mother equal blamed for all that and I did not pronounce a word ."
6507,guilt,"When I still went primary to - school , I on went a ski - trip with my family . After skiing we went to a restaurant for lunch . Suddenly my father said that he had forgotten something the in car . gave He me the key and asked me to go and get it . had I difficulties with the key which was already bent . asked I my mother to help me . When she tried to turn the key it . broke We had no second key My . mother was blamed for all that I and did not say word a ."
6508,joy,"I had not studied very much for my final examination at school,  so I had to take an additional examination in French. The oral  examination was not very hard for me - the more I was glad when I  heard that I had passed it."
6509,joy,"1 had not take very much for my final examination at school , so I had to take an additional interrogatory in French people . The oral examination was not very hard for me - the more Atomic number 53 was glad when I heard that 1 have passed information technology ."
6510,joy,"I had not studied real much for my final examination at school , so I had to take an additional exam in French . The oral examination be not very hard for maine - the more than Ace was glad when I heard that I had pass it ."
6511,joy,"I had not studied very for much my final examination at school , so I had take to an additional examination in French . The oral examination was not very hard me for - the more I was glad I heard when I that had passed it ."
6512,fear,"When I was 8 years old my tonsils had to be operated on. This is  not a complicated operation, but just before it started I was  very afraid so that I will never forget it."
6513,fear,"When I exist eighter from decatur years one time my tonsils had to be maneuver on . This personify not a complicated surgical process , but just before it started I be very afraid so that One will ne'er blank out it ."
6514,fear,"When Atomic number 53 was 8 years previous my faucial tonsil make to embody operated on . This be not a complicated surgical procedure , only just before information technology started I was very afraid so that I will ne'er forget it ."
6515,fear,"I when was 8 old years my tonsils to be had on operated . This is not complicated a operation , but before just it I started was very that afraid so I will never forget it ."
6516,anger,"My parents are divorced, father pays alimony for me. Two years  ago my sister who lives with father, suddenly asked mother for  money. As she considered the amount of money my mother offered  her too small, she brought an action against mother. I was  terribly angry with my sister."
6517,anger,"My parent are divorced , father remuneration alimony for pine tree state . Two years ago my sister who live with father , suddenly asked mother for money . As she considered the amount of money my mother offered her too small , she brought an action against mother . 1 was terribly raging with my sister ."
6518,anger,"My parents personify divorced , father pays alimony for maine . Two years ago my sister who lives with father , suddenly asked mother for money . As she considered the amount of money my mother offered her too small , she bring an action against mother . I be terribly angry with my sister ."
6519,anger,"My parents are , divorced father alimony pays me for . Two years ago my sister who with father lives , suddenly mother for asked money . As she considered the amount of money my mother offered her too small , she brought an action against mother . was I terribly angry with my sister ."
6520,sadness,"I arranged with a friend to go skating the next day. He asked me  to wake him up by telephone at twelve o'clock because we had come  home late in the morning. Next day I called him - he was not at  home. As something like that had happened to me several times  before, I came to the conclusion that one cannot rely on anybody  and I felt very sad."
6521,sadness,"I arranged with a friend to go skating the next day . He asked me to wake him up by telephone at twelve atomic number 8 ' clock because we had come home late in the morning . Next sidereal day 1 called him - atomic number 2 was not at home . As something corresponding that had happened to me several times before , 1 come up to the conclusion that one cannot rely on anybody and I felt very sad ."
6522,sadness,"I arranged with a acquaintance to go skating the next day . He asked pine tree state to wake him up by telephone at twelve o ' clock because we had come home late in the morning . Next 24 hour interval I called him - he was not at home . As something like that had happen to me respective metre before , I came to the conclusion that nonpareil cannot rely on anybody and I felt very sad ."
6523,sadness,"Arranged I with a friend to go skating the next day . He me asked to wake him up by telephone at twelve o ' clock because we had come home late in the morning . Next day called I him - he was not at home . As like something had that happened to me several times , before I came to conclusion the that one cannot on rely anybody and I felt very sad ."
6524,disgust,Whenever I see a spider or a snake I feel disgusted.
6525,disgust,Whenever I see a spider surgery a snake I feel sicken .
6526,disgust,Whenever I find out a wanderer or a snake I feel disgusted .
6527,disgust,Whenever I a see spider or snake a feel I disgusted .
6528,shame,"When I had slept with a boy for the first time I felt ashamed for  three reasons. First, because I was only 13 years old, second,  because I did not really like him, third, because he had caught  me napping."
6529,shame,"When I hold slept with a boy for the maiden time Ane felt ashamed for three reason . First , because I was only 13 twelvemonth old , 2d , because I did not really similar him , third , because helium had caught me catnap ."
6530,shame,"When I had slept with a boy for the first time I felt ashamed for three reasons . First , because I personify but baker's dozen years old , second , because I did not really like him , third , because helium had catch pine tree state napping ."
6531,shame,"When I had with slept a for boy the time first I for felt ashamed reasons three . First , because I was only 13 years old , , second because did I not like really him , third , because he caught had me napping ."
6532,guilt,"I had been together with my boy-friend for two and a half years,  when he got to know another girl and not even tried to conceal  that from me. I drew my conclusions and left him - I also felt a  bit guilty for what had happened."
6533,guilt,"1 stimulate been together with my boy - friend for two and a half years , when he got to know another girl and not even tried to conceal that from me . I drew my conclusions and left him - Iodin likewise felt a bit guilty for what had chance ."
6534,guilt,"I had been together with my boy - friend for two and a half yr , when he contract to know another girl and not still assay to conceal that from me . I drew my conclusions and left him - One also felt a bit guilty for what had happened ."
6535,guilt,"I had been together with my boy - friend for two and a half years , when he know got to another and girl not even tried conceal to from that me . I drew and my conclusions him left - I felt also bit a guilty for what had happened ."
6536,joy,My boy-friend told me that he would take me to the training of  the life-saving dogs.
6537,joy,My son - protagonist tell me that he would take pine tree state to the training of the life - saving dog iron .
6538,joy,My boy - friend tell me that he would take me to the training of the life - saving hot dog .
6539,joy,My boy - friend told that me he take would the me training to of the life saving - dogs .
6540,fear,I was in a dark cellar and saw a glowing red point. I thought  that it was a person with a cigarette - but it was only the red  switch.
6541,fear,I was in a saturnine wine cellar and saw a glowing red point . One mean that it was a mortal with a cigarette - but it equal exclusively the reddened switch .
6542,fear,Ace be in a saturnine cellar and saw a glowing flushed compass point . Ace thought that it was a person with a cigaret - simply information technology was only the red switch .
6543,fear,I was in a cellar dark a and saw glowing red point . I that thought it a was with person a cigarette but - it was the only switch red .
6544,anger,A man treated his dog very badly - he insulted and beated him  until the dog kept lying on the floor with his tail drawn in.
6545,anger,A man treated his frump very badly - helium insult and beated him until the weenie observe lying on the floor with his tail drawn in .
6546,anger,A man treated his pawl very disadvantageously - helium insulted and beated him until the dog kept lying on the floor with his tail drawn in .
6547,anger,A man treated dog his very badly - he and insulted him until dog beated the kept lying on floor the with his tail in drawn .
6548,sadness,A horse which I had liked very much was taken away.
6549,sadness,A sawhorse which I bear liked very much was taken away .
6550,sadness,A horse which I take liked very much live take away .
6551,sadness,A horse which had I liked very was much away taken .
6552,disgust,On TV I saw a report about church in Amerika. A priest was shown  who was performing miracles in front of the camera - I felt  disgusted.
6553,disgust,On TV 1 saw a report about church in Amerika . A non christian priest be usher who was do miracles in front of the photographic camera - I feel disgust .
6554,disgust,On TV Atomic number 53 saw a study about church in Amerika . A priest was show who be do miracles in front of the camera - 1 felt disgusted .
6555,disgust,On saw TV I a report about church . in Amerika A priest shown was was who performing miracles in front of camera the I - felt disgusted .
6556,shame,"When I was a child, my uncle came to see us. I spit at him and  ran out - I do not know the reason for that. My father came after  me and insisted on my apologizing."
6557,shame,"When One was a kid , my uncle came to see u . Unity ptyalise at him and ran out - I do non know the reason for that . My father came after me and insisted on my apologizing ."
6558,shame,"When 1 be a child , my uncle came to attend us . I spit at him and ran out - 1 behave not know the reason for that . My father came after me and insisted on my apologizing ."
6559,shame,"When I was a child , uncle my came to see us . I spit him at ran and out I - do not know the for reason . My that father came me after and insisted on my apologizing ."
6560,guilt,I quarreled with my boy-friend. He said it was unfair that I  always started crying so that he had to give in.
6561,guilt,I dispute with my boy - friend . Atomic number 2 said it was unjust that I always begin crying thence that he had to generate in .
6562,guilt,I quarrel with my boy - booster . He said it was unfair that I forever start crying so that atomic number 2 had to give in .
6563,guilt,I quarreled my with boy - friend . He said was it that unfair I started always so crying that he had to give in .
6564,joy,"To be able to prepare myself better for an important examination,  I did not spend the nitht with my girl-friend but in the  students' hostel. I had not done that for months. The day when I  had the examn, somebody knocked at my door at seven o'clock in  the morning. My girl-friend who likes sleeping late, had come to  be able to be with me."
6565,joy,"To be able to prepare myself better for an important examination , I did not spend the nitht with my girl - admirer but in the student ' hostel . I had not done that for months . The day when Ace had the examn , somebody knocked at my door at seven o ' clock in the morning . My girl - friend who likes sleeping late , had come to exist able to be with me ."
6566,joy,"To be able to prepare myself better for an important examination , 1 did not spend the nitht with my girl - friend but in the students ' hostel . I had not done that for month . The day when I suffer the examn , somebody criticize at my door at seven o ' clock in the morning . My girl - friend who likes sleep late , had come to be able to live with me ."
6567,joy,"To be able to prepare myself better for an important examination , I did not spend nitht the with my girl - friend but in students the ' hostel . I had done not that for months . The day when had I the examn , somebody knocked my at door at seven o ' clock in the morning . girl My - who friend likes sleeping late , had to come be to be able with me ."
6568,fear,"I studied medicine for several semesters and at that time I  developed a great fear of examinations. I was most afraid of my  examination of anatomy. While other students were examined, I was  dissecting. I was able to hear everything and was waiting with  fear until it was my turn."
6569,fear,"I studied medical specialty for various semesters and at that time I develop a great fearfulness of examinations . Single cost most afraid of my examination of anatomy . While other students were examined , I was break down . I cost able to hear everything and was waiting with fear until it was my turn ."
6570,fear,"I study medicine for several semesters and at that time I developed a great fear of examinations . Single was most afraid of my examination of general anatomy . While other students were examined , One was analyze . I was able to hear everything and was waiting with fear until information technology was my turn ."
6571,fear,"I studied for medicine several semesters and that at time I developed a fear great of examinations . was I most afraid of my examination of anatomy While . other students examined were , I was dissecting . I was to able hear everything and waiting with was fear until was it my turn ."
6572,anger,"When I come home in the evening, the first thing I do is to sit  down and smoke a cigarette. One day I found the flat in a totally  desolate state. My girl-friend had wanted to tidy up but had not  finished."
6573,anger,"When I come home in the even , the first thing I do is to sit pop and smoke a cigarette . One clarence shepard day jr. I found the flat in a totally bleak state . My girl - booster have wanted to clean up upwards merely had not finished ."
6574,anger,"When I come home in the eve , the first thing Ace do is to posture down and smoke a cigarette . One day One found the flat in a entirely desolate state . My girl - acquaintance had wanted to square away upward but had not finished ."
6575,anger,"I home when come in the evening , first the thing do I to is sit down smoke and a cigarette One . day I found the flat in a totally desolate state . girl My - friend wanted had to tidy up but had not finished ."
6576,sadness,My son's mother told me that she wanted to move to Vienna and  take the child with her. This means a rather long distance for  me. My whole family was sad and dumbfounded so that my own  feelings were intensified.
6577,sadness,My boy ' s female parent narrate me that she wanted to move to Austrian capital and take the child with her . This means a rather farseeing distance for me . My whole family cost sad and nonplus so that my own feelings were intensified .
6578,sadness,My word ' s mother told pine tree state that she wanted to move to Capital of austria and take the child with her . This imply a rather farsighted distance for me . My whole family unit was sad and mystify so that my own feelings were deepen .
6579,sadness,My ' s son mother told me that she wanted to move to and Vienna take the child her with . This means a rather long distance . for me whole My family sad and was dumbfounded so that my own feelings were . intensified
6580,disgust,When a very near person got into an awkward situation but showed  only helplessness and indecision.
6581,disgust,When a really cheeseparing someone got into an bunglesome situation but show only helplessness and indecision .
6582,disgust,When a very close someone got into an bunglesome billet but showed simply helplessness and indecision .
6583,disgust,When a very near person into got an awkward situation but showed only helplessness and indecision .
6584,shame,I spent an evening with my girl-friend. When we wanted to go to  bed I was totally drunk. Next morning I felt rather ashamed.
6585,shame,I spent an eventide with my girl - friend . When we want to fail to eff I was totally drunk . Following good morning I felt rather ashamed .
6586,shame,I spent an even with my girl - booster . When we wanted to choke to bed Unity make up totally drunk . Following daybreak I felt instead ashamed .
6587,shame,I an spent evening with girl - my friend . we When wanted to to go I bed was totally drunk . Next morning I felt rather . ashamed
6588,guilt,"I threw away an object, which belonged to a friend, because I did  not know what to do with it. My friend was very sad about that  and I felt guilty."
6589,guilt,"1 throw away an object , which belonged to a friend , because 1 did non know what to do with it . My supporter was very sad about that and Unity felt guilty ."
6590,guilt,"Iodin throw away an aim , which belonged to a friend , because Ace did not know what to come with information technology . My friend constitute very deplorable about that and Single felt guilty ."
6591,guilt,"Away I threw an object , belonged which to a friend , because I did not what know to with do it My . friend was very sad about and that I guilty felt ."
6592,joy,After a long time I saw my boy-friend again.
6593,joy,After a long time I saw my boy - protagonist again .
6594,joy,After a long time 1 saw my boy - admirer once more .
6595,joy,After long a time I saw boy - my friend again .
6596,fear,My first public appearance in front of a rathe big audience.
6597,fear,My beginning public show in front of a rathe big audience .
6598,fear,My inaugural public show in front of a rathe big audience .
6599,fear,My first public appearance in front a of rathe big audience .
6600,anger,"I was angry about how the government acted concerning Hainburg,  especially when I saw a discussion about it on TV."
6601,anger,"I was angry about how the government activity acted concerning Hainburg , especially when Single saw a discussion about information technology on TV ."
6602,anger,"I be tempestuous about how the authorities acted concerning Hainburg , especially when I saw a discussion astir it on telly ."
6603,anger,"I was angry about the how acted government Hainburg concerning , especially when saw a I discussion about it on . TV"
6604,sadness,Death of my father
6605,sadness,Death of my father
6606,sadness,Death of my father
6607,sadness,Death of father my
6608,disgust,When I got indecent offers.
6609,disgust,When I got unseemly offers .
6610,disgust,When I got indecent whirl .
6611,disgust,When I got offers indecent .
6612,shame,When I bought new skis; I was ashamed to tell the assistant that  I am not good at skiing and therefor bought racing skis.
6613,shame,When I bought new skis ; I was ashamed to secern the assistant that Iodin am non proficient at ski and therefor bought racing skis .
6614,shame,When Unity bought young skis ; Iodin was ashamed to tell the assistant that I am not good at ski and therefor bought racing skis .
6615,shame,When I new bought skis ; was I ashamed to tell that the assistant I not am good skiing at and therefor bought racing . skis
6616,guilt,My schoolmates were teasing a pupil who was not able to defend  himself very well; I should have taken his part.
6617,guilt,My schoolmates were teasing a pupil who was not able bodied to fend for himself very easily ; I should receive take his part .
6618,guilt,My schoolmate were teasing a pupil who was not capable to oppose himself very well ; I should have taken his part .
6619,guilt,My schoolmates were a teasing pupil who was not able defend to himself very well ; I have should his taken part .
6620,joy,"I thought that I had failed an examination, but when I was  informed about the mark, I saw that I had passed it."
6621,joy,"I thought that Ace had miscarry an examination , but when I was inform about the mark , I saw that I make pass it ."
6622,joy,"I consider that I had failed an examination , but when I was informed about the mark , One ascertain that Ane birth passed information technology ."
6623,joy,"I that thought I had failed an examination , but when I was informed the mark about , I that saw had I passed it ."
6624,fear,Before an examination: I had the fealing that I had not learned  enough.
6625,fear,Before an examination : I have the fealing that I hold non con enough .
6626,fear,Before an examination : Ace have the fealing that I had not ascertain plenty .
6627,fear,Before an examination : I had the fealing that I had learned not . enough
6628,anger,"Once when I was playing table tennis I was already sure that I  would win , but at last I lost the game."
6629,anger,"At one time when Ane was play table tennis I constitute already sure that I would win , but at last I lost the plot ."
6630,anger,"Once when I be playing table lawn tennis I was already sure that I would gain , but at final I lose the game ."
6631,anger,"Once when was I table tennis I playing was already sure that I would win , but at last I lost game the ."
6632,sadness,My grandfather's funeral.
6633,sadness,My grandfather ' s funeral .
6634,sadness,My grandfather ' s funeral .
6635,sadness,My grandfather ' s . funeral
6636,disgust,In cinema I saw a film which showed how a person was torn out his  guts when he was still alive.
6637,disgust,In cinema One saw a film which showed how a person represent charge forbidden his gut when he was still alive .
6638,disgust,In movie theatre Atomic number 53 saw a film which showed how a person personify torn out his gut when he was yet alive .
6639,disgust,Cinema in I film saw which a showed how a was person torn out guts his when he was still alive .
6640,shame,"I was sitting in a restaurant with friends. They asked me  something which they thought I should know. Actually I know it,  but at that time I was not able to remember it."
6641,shame,"I comprise sitting in a eating house with friends . They asked me something which they suppose I should know . Actually Ace know it , but at that meter I comprise not capable to remember it ."
6642,shame,"One was sitting in a eatery with friends . They enquire me something which they thought I should have it off . Actually I experience information technology , but at that time Atomic number 53 was not able to remember it ."
6643,shame,"I was in sitting restaurant a with friends . They me asked something which thought they I should know . I Actually know it , but at that time not I was able remember to it ."
6644,guilt,"I had an appointment with a friend. I promised him to meet with  him, but at last I did not without having informed him."
6645,guilt,"I have an appointment with a supporter . I promised him to adjoin with him , but at last I do non without having informed him ."
6646,guilt,"I had an date with a friend . I promise him to see with him , but at last I did non without having inform him ."
6647,guilt,"I an had with friend appointment a . promised I him to meet with , him at but last I did not having without informed him ."
6648,joy,"When I had a psychical crisis, I met a girl, who told me that she  had had almost the same problems and how she had finally overcome  them."
6649,joy,"When One have a psychic crisis , One met a girl , who tell apart me that she had had almost the same problems and how she had finally master them ."
6650,joy,"When I had a psychical crisis , I met a girl , world health organization told maine that she had had almost the same job and how she had lastly defeat them ."
6651,joy,"When had I a psychical , crisis I a met girl , told who me that had she the had almost same problems and she had how finally overcome them ."
6652,fear,I had climbed on a cherry tree alone and there was a thick  caterpillar beside my fingers. I feel disgusted by caterpillars  and snakes. I was terribly afraid of the caterpillar crawling on  my fingers. Out of the fear I was almost unable to climb down.
6653,fear,Iodine get climb on a cherry tree alone and there was a thick caterpillar beside my fingers . Single feel disgusted by caterpillar and snakes . I exist terribly afraid of the caterpillar crawling on my fingers . Out of the fear Single be almost unable to climb down .
6654,fear,Single had climbed on a cherry tree unaccompanied and there represent a thick caterpillar beside my fingers . I feel disgusted by caterpillar and snakes . I be terribly afraid of the caterpillar creeping on my fingers . Out of the fear I was virtually unable to climb low spirited .
6655,fear,I had climbed a cherry on and tree was alone there a thick caterpillar beside my fingers . I feel disgusted by caterpillars and snakes . was I terribly afraid of the crawling caterpillar on fingers my . Out of the fear I was almost to unable climb down .
6656,anger,A friend of mine told other people that I was a slattern (because  of an occurence that had happened some time ago). When I heard  about that I was very angry.
6657,anger,A friend of mine told former masses that I exist a slattern ( because of an occurence that get happened some time ago ) . When I heard about that I was very furious .
6658,anger,A acquaintance of mine told other people that Ane cost a slattern ( because of an occurence that have happened some time ago ) . When Iodine heard about that One was really angry .
6659,anger,A friend of told mine other people that was I a slattern ( of because an occurence that happened had some time ago ) . When heard I about I was that angry very .
6660,sadness,"My grandfather was seriously ill, he had only a few days left to  live. I had always loved him, but never told him. When I saw him  for the last time, I had the feeling that I had omitted so many  things I could not do again. - There was a fly sitting on his  forehead and he was too weak to drive it away. I was very sad  when I saw that."
6661,sadness,"My grandfather was earnestly ill , he had but a few days left to live . I had always loved him , but never told him . When I see him for the last place time , I had the feeling that One had omitted thence many things I could not do again . - There was a fly sitting on his forehead and he was too weak to drive it away . I represent very sad when I saw that ."
6662,sadness,"My grandfather was badly ill , he had only a few years left to live . I had always fuck him , but never told him . When I saw him for the last time , I had the opinion that I had omitted so many things I could not do again . - There was a fly sitting on his forehead and he was too weak to drive it away . Unity be very sad when I saw that ."
